"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","22","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Fri Sep 15 14:10:42 GMT 2023","Fri Sep 15 14:10:42 GMT 2023","20","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","shouldRetrieveTestUser","shouldRetrieveTestUser()",""
"passed","Fri Sep 15 14:10:41 GMT 2023","Fri Sep 15 14:10:41 GMT 2023","653","","br.com.santocodigo.demotests.DemotestsApplicationTest","","br.com.santocodigo.demotests.DemotestsApplicationTest","main","main()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","5","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullPassword","shouldThrowExceptionWhenLoginWithNullPassword()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullUser","shouldThrowExceptionWhenLoginWithNullUser()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","226","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","26","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","10","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullEmail","shouldThrowExceptionWhenLoginWithNullEmail()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullEmail","shouldThrowExceptionWhenCreateWithNullEmail()",""
"broken","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","20","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","13","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","13","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","1","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","28","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"failed","Fri Sep 15 14:10:43 GMT 2023","Fri Sep 15 14:10:43 GMT 2023","300","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullPassword","shouldThrowExceptionWhenCreateWithNullPassword()",""
