"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","10","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","33","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","12","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","274","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Thu Sep 14 15:21:23 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","27","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Thu Sep 14 15:21:22 GMT 2023","Thu Sep 14 15:21:23 GMT 2023","436","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
