"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","19","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"passed","Thu Sep 14 23:15:54 GMT 2023","Thu Sep 14 23:15:54 GMT 2023","416","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","22","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","6","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","7","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","30","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Thu Sep 14 23:15:55 GMT 2023","Thu Sep 14 23:15:55 GMT 2023","269","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
