"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","23","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","5","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Wed Oct 04 13:51:55 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","291","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","13","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullEmail","shouldThrowExceptionWhenLoginWithNullEmail()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullEmail","shouldThrowExceptionWhenCreateWithNullEmail()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","5","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullPassword","shouldThrowExceptionWhenLoginWithNullPassword()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","27","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullUser","shouldThrowExceptionWhenLoginWithNullUser()",""
"passed","Wed Oct 04 13:51:53 GMT 2023","Wed Oct 04 13:51:54 GMT 2023","1111","","br.com.santocodigo.demotests.DemotestsApplicationTest","","br.com.santocodigo.demotests.DemotestsApplicationTest","main","main()",""
"passed","Wed Oct 04 13:51:54 GMT 2023","Wed Oct 04 13:51:54 GMT 2023","24","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","shouldRetrieveTestUser","shouldRetrieveTestUser()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","8","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","11","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","4","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","198","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullPassword","shouldThrowExceptionWhenCreateWithNullPassword()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"passed","Wed Oct 04 13:51:56 GMT 2023","Wed Oct 04 13:51:56 GMT 2023","35","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
