"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","13","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginSuccessfully","shouldLoginSuccessfully()",""
"passed","Tue Sep 19 02:56:29 GMT 2023","Tue Sep 19 02:56:29 GMT 2023","19","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","","br.com.santocodigo.demotests.integration.UserIntegrationServiceTest","shouldRetrieveTestUser","shouldRetrieveTestUser()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","155","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullPassword","shouldThrowExceptionWhenCreateWithNullPassword()",""
"passed","Tue Sep 19 02:56:28 GMT 2023","Tue Sep 19 02:56:29 GMT 2023","853","","br.com.santocodigo.demotests.DemotestsApplicationTest","","br.com.santocodigo.demotests.DemotestsApplicationTest","main","main()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","32","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveUser","shouldRetrieveUser()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","7","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldCreateUser","shouldCreateUser()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","27","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldRetrieveAllUsers","shouldRetrieveAllUsers()",""
"passed","Tue Sep 19 02:56:31 GMT 2023","Tue Sep 19 02:56:31 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateWithNullEmail","shouldThrowExceptionWhenCreateWithNullEmail()",""
"failed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","5","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullPassword","shouldThrowExceptionWhenLoginWithNullPassword()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","13","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLoginError","shouldLoginError()",""
"failed","Tue Sep 19 02:56:31 GMT 2023","Tue Sep 19 02:56:31 GMT 2023","3","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullEmail","shouldThrowExceptionWhenLoginWithNullEmail()",""
"passed","Tue Sep 19 02:56:31 GMT 2023","Tue Sep 19 02:56:31 GMT 2023","2","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldRetrieveEmptyListOfUser","shouldRetrieveEmptyListOfUser()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","47","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldCreateUser","shouldCreateUser()",""
"passed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","15","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenCreateUserWithNullArgument","shouldThrowExceptionWhenCreateUserWithNullArgument()",""
"failed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","241","","br.com.santocodigo.demotests.integration.UserIntegrationTest","","br.com.santocodigo.demotests.integration.UserIntegrationTest","shouldLogin","shouldLogin()",""
"broken","Tue Sep 19 02:56:31 GMT 2023","Tue Sep 19 02:56:31 GMT 2023","18","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldLoginFailWhenUserNotFound","shouldLoginFailWhenUserNotFound()",""
"failed","Tue Sep 19 02:56:30 GMT 2023","Tue Sep 19 02:56:30 GMT 2023","14","","br.com.santocodigo.demotests.service.UserServiceTest","","br.com.santocodigo.demotests.service.UserServiceTest","shouldThrowExceptionWhenLoginWithNullUser","shouldThrowExceptionWhenLoginWithNullUser()",""
